Unnamed: 0,Name,POS,Age,HT,WT,College,Salary,TeamURL,Team,Division,Conference
,Thomas Bryant3,C,28,"6' 9""",248 lbs,Indiana,"$2,296,274",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
,Darius Garland10,G,25,"6' 1""",192 lbs,Vanderbilt,"$39,446,090",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
,De'Andre Hunter12,F,27,"6' 7""",221 lbs,Virginia,"$23,303,571",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
,Sam Merrill5,G,29,"6' 4""",205 lbs,Utah State,"$8,482,143",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
,Donovan Mitchell45,G,29,"6' 2""",215 lbs,Louisville,"$46,394,100",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
,Evan Mobley4,C,24,"6' 11""",215 lbs,USC,"$46,394,100",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
,Larry Nance Jr.22,F,32,"6' 6""",245 lbs,Wyoming,"$2,296,274",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
,Craig Porter Jr.9,G,25,"6' 1""",180 lbs,Wichita State,"$2,221,677",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
,Tyrese Proctor24,G,21,"6' 4""",185 lbs,Duke,"$1,272,870",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
,Max Strus1,G,29,"6' 5""",215 lbs,DePaul,"$15,936,452",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
,Nae'Qwan Tomlin30,F,24,"6' 8""",210 lbs,Memphis,--,https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
,Luke Travers33,F,24,"6' 6""",207 lbs,--,--,https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
,Jaylon Tyson20,G,22,"6' 6""",215 lbs,California,"$3,492,480",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
,Dean Wade32,F,28,"6' 9""",228 lbs,Kansas State,"$6,623,456",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers,Central,Eastern
,Cade Cunningham2,G,24,"6' 6""",220 lbs,Oklahoma State,"$46,394,100",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Jalen Duren0,C,21,"6' 10""",250 lbs,Memphis,"$6,483,144",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Javonte Green31,G,32,"6' 5""",205 lbs,Radford,"$2,296,274",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Tobias Harris12,F,33,"6' 8""",226 lbs,Tennessee,"$26,634,146",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Ronald Holland II5,F,20,"6' 8""",206 lbs,--,"$8,657,280",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Jaden Ivey23,G,23,"6' 3""",195 lbs,Purdue,"$10,107,163",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Daniss Jenkins24,G,24,"6' 4""",165 lbs,St. John's,--,https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Colby Jones1,G,23,"6' 6""",207 lbs,Xavier,"$2,221,677",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Bobi Klintman34,F,22,"6' 9""",225 lbs,Wake Forest,"$1,955,377",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Chaz Lanier20,G,23,"6' 3""",206 lbs,Tennessee,"$1,372,870",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
